Sensor1_val,Sensor2_val,Sensor3_val,Sensor4_val,Sensor5_val,Sensor6_val,Sensor7_val,Sensor8_val,y,category
1.094538,2.279146,2.820786,2.320128,0.921079,3.800957,2.177023,0.69604,1,10%gnd+90%palm
1.084324,2.279146,2.820786,2.309916,0.931293,3.81117,2.177023,0.706254,1,10%gnd+90%palm
1.114964,2.289359,2.820786,2.320128,0.921079,3.831596,2.187236,0.716467,1,10%gnd+90%palm
1.13539,2.289359,2.830998,2.320128,0.921079,3.831596,2.177023,0.675614,1,10%gnd+90%palm
1.145604,2.299572,2.830998,2.320128,0.921079,3.852022,2.177023,0.72668,1,10%gnd+90%palm
1.155817,2.309785,2.820786,2.330341,0.921079,3.852022,2.16681,0.69604,1,10%gnd+90%palm
1.16603,2.309785,2.830998,2.320128,0.931293,3.862236,2.187236,0.685827,1,10%gnd+90%palm
1.186456,2.319998,2.841211,2.309916,0.921079,3.872449,2.177023,0.706254,1,10%gnd+90%palm
1.196669,2.330211,2.820786,2.320128,0.921079,3.872449,2.197449,0.706254,1,10%gnd+90%palm
1.206882,2.340424,2.841211,2.320128,0.921079,3.892875,2.177023,0.69604,1,10%gnd+90%palm
1.217096,2.340424,2.851423,2.320128,0.921079,3.913301,2.177023,0.716467,1,10%gnd+90%palm
1.217096,2.350636,2.851423,2.320128,0.921079,3.913301,2.187236,0.706254,1,10%gnd+90%palm
1.227309,2.371063,2.841211,2.330341,0.921079,3.923514,2.187236,0.69604,1,10%gnd+90%palm
1.237522,2.360849,2.861635,2.320128,0.910865,3.943941,2.177023,0.706254,1,10%gnd+90%palm
1.247735,2.381275,2.861635,2.330341,0.910865,3.943941,2.187236,0.706254,1,10%gnd+90%palm
1.257948,2.381275,2.871848,2.330341,0.910865,3.964367,2.187236,0.706254,1,10%gnd+90%palm
1.257948,2.391488,2.871848,2.330341,0.910865,3.954154,2.187236,0.706254,1,10%gnd+90%palm
1.268162,2.391488,2.871848,2.330341,0.900651,3.97458,2.187236,0.706254,1,10%gnd+90%palm
1.278375,2.401701,2.871848,2.330341,0.910865,3.984793,2.187236,0.706254,1,10%gnd+90%palm
1.288588,2.411914,2.871848,2.340554,0.900651,3.995006,2.197449,0.706254,1,10%gnd+90%palm
